Name,Status,Area,Priority,Assignee,Due,Tags,Description,FilePath,SubtaskOf,Estimate
"Epic: Autenticación y Perfil","To Do","Auth","High",,,"auth,keycloak,roles","Integrar Keycloak para login/registro, roles (owner, staff, customer) y perfil","/docs/auth.md",,"5d"
"Crear realm y clientes en Keycloak","To Do","Auth","High",,,"keycloak,setup","Realm arami, client shop-web (PKCE), shop-api (confidential)","/infra/docker-compose.yml","Epic: Autenticación y Perfil","6h"
"Login/registro con Keycloak en shop-web","To Do","Frontend","High",,,"next,oidc,next-auth","Configurar next-auth con provider OIDC de Keycloak (PKCE), sesión y cierre de sesión","/apps/shop-web", "Epic: Autenticación y Perfil","12h"
"Roles en UI (owner/staff/customer)","To Do","Frontend","High",,,"rbac,ui","Mostrar/ocultar Admin según rol; badge de rol opcional","/apps/shop-web","Epic: Autenticación y Perfil","6h"
"Proteger rutas admin (middleware)","To Do","Frontend","High",,,"guard","middleware.ts que redirige si no hay rol requerido","/apps/shop-web","Epic: Autenticación y Perfil","6h"
"Backend como Resource Server","To Do","Backend","High",,,"spring,oauth2","Configurar spring-boot-starter-oauth2-resource-server y validación de JWT","/services/svc-customer","Epic: Autenticación y Perfil","10h"
"Login social Google en Keycloak","To Do","Auth","Medium",,,"google,broker","Configurar IdP Google con ClientID/Secret y mappers","/docs/auth.md","Epic: Autenticación y Perfil","6h"

"Epic: Catálogo de Productos","To Do","Catalog","High",,,"catalog,db,api","Servicio de catálogo con productos, categorías, variantes y media (MinIO)","/services/svc-catalog",,"8d"
"Svc-catalog (Spring Boot + JPA)","To Do","Backend","High",,,"spring,jpa","Proyecto nuevo con entidades Product, Category, Variant, Image","/services/svc-catalog","Epic: Catálogo de Productos","16h"
"Flyway migrations catálogo","To Do","Backend","High",,,"flyway,db","Esquema inicial y seeds","/services/svc-catalog/src/main/resources/db/migration","Epic: Catálogo de Productos","8h"
"Carga media a MinIO","To Do","Backend","Medium",,,"minio,s3","Subida de imágenes (signed URLs) y vinculación en DB","/services/svc-catalog","Epic: Catálogo de Productos","12h"
"API Catálogo (REST)","To Do","Backend","High",,,"api","Endpoints: list/search, get product, categories, admin CRUD","/services/svc-catalog","Epic: Catálogo de Productos","14h"
"UI listado + filtros","To Do","Frontend","High",,,"ui,filters","Listar productos, filtro por categoría, orden y rango de precio","/apps/shop-web","Epic: Catálogo de Productos","12h"
"UI detalle de producto","To Do","Frontend","High",,,"ui,product","Galería, precio, rating, variantes (talla/color)","/apps/shop-web","Epic: Catálogo de Productos","10h"

"Epic: Carrito y Checkout","To Do","Checkout","High",,,"cart,checkout","Carrito persistente y flujo de compra","/apps/shop-web",,"7d"
"Carrito (frontend)","To Do","Frontend","High",,,"cart","Añadir/quitar, qty, persistencia local y sync post-login","/apps/shop-web","Epic: Carrito y Checkout","10h"
"Servicio de órdenes","To Do","Backend","High",,,"orders","Crear svc-order con entidades Order, OrderItem, estados","/services/svc-order","Epic: Carrito y Checkout","16h"
"API checkout","To Do","Backend","High",,,"api","Crear orden, calcular totales, validar stock","/services/svc-order","Epic: Carrito y Checkout","12h"
"Integración de pagos (Stripe/Mercado Pago)","To Do","Payments","High",,,"payments","Intent de pago, webhook de confirmación","/services/svc-order","Epic: Carrito y Checkout","16h"
"UI checkout (pasos)","To Do","Frontend","High",,,"ui,checkout","Dirección, envío, pago, confirmación","/apps/shop-web","Epic: Carrito y Checkout","12h"

"Epic: Post‑venta y Perfil","To Do","Account","Medium",,,"orders,profile","Historial de pedidos, direcciones y datos del usuario","/apps/shop-web",,"4d"
"Órdenes del usuario","To Do","Frontend","Medium",,,"orders,ui","Listado y detalle de orden","/apps/shop-web","Epic: Post‑venta y Perfil","10h"
"Direcciones y datos","To Do","Frontend","Medium",,,"profile,ui","CRUD de direcciones y datos básicos","/apps/shop-web","Epic: Post‑venta y Perfil","8h"

"Epic: Infra y Despliegue","To Do","Infra","High",,,"infra,ci/cd","Pipelines, contenedores y despliegue","/infra",,"6d"
"Dockerizar servicios","To Do","Infra","High",,,"docker","Dockerfiles y compose para dev","/infra/docker-compose.yml","Epic: Infra y Despliegue","8h"
"CI/CD GitHub Actions","To Do","CI","High",,,"ci","Build, test y deploy a entornos","/.github/workflows","Epic: Infra y Despliegue","12h"
"Despliegue Front (Vercel/Netlify)","To Do","Infra","Medium",,,"deploy,frontend","Pipeline de shop-web","/apps/shop-web","Epic: Infra y Despliegue","8h"
"Despliegue Back (Fly.io/Render)","To Do","Infra","Medium",,,"deploy,backend","Pipeline de servicios Spring","/services","Epic: Infra y Despliegue","10h"
"Backups y restores Postgres","To Do","Infra","Medium",,,"db,backup","Política de backups y script de restore","/infra","Epic: Infra y Despliegue","8h"

"Epic: Observabilidad y Seguridad","To Do","Platform","High",,,"logs,metrics,security","Logs, métricas, errores y hardening","/docs/observability.md",,"5d"
"Logs estructurados","To Do","Platform","High",,,"logs","Formato JSON, correlación, retención","/services","Epic: Observabilidad y Seguridad","8h"
"Métricas y healthchecks","To Do","Platform","Medium",,,"metrics","Actuator + dashboards básicos","/services","Epic: Observabilidad y Seguridad","8h"
"Errores (Sentry) frontend","To Do","Frontend","Medium",,,"sentry","Captura de errores y performance en web","/apps/shop-web","Epic: Observabilidad y Seguridad","6h"
"Hardening y secretos","To Do","Security","High",,,"security,env",".env.example, rotación de claves, roles mínimos","/docs/security.md","Epic: Observabilidad y Seguridad","8h"

"Epic: Contenido y SEO","To Do","Web","Medium",,,"seo,content","Páginas de contenido y metadatos","/apps/shop-web/app",,"4d"
"Páginas estáticas (Nosotros, Ayuda)","To Do","Web","Medium",,,"content","Secciones básicas enlazadas desde el footer","/apps/shop-web","Epic: Contenido y SEO","8h"
"SEO técnico","To Do","Web","Medium",,,"seo","Head tags, sitemap, robots, schema.org","/apps/shop-web","Epic: Contenido y SEO","8h"

"Epic: Datos y Costos","To Do","Planning","High",,,"cost,planning","Estimación de costos, tamaños y SLAs","/docs/costs.md",,"3d"
"Estimación tamaño DB","To Do","Planning","Medium",,,"db,size","Volumen esperado de productos, órdenes y logs","/docs/costs.md","Epic: Datos y Costos","6h"
"Estimación costos cloud","To Do","Planning","Medium",,,"cloud,cost","Infra (DB, compute, storage, CDN) por entorno","/docs/costs.md","Epic: Datos y Costos","8h"
"Política de logs/retención","To Do","Planning","Medium",,,"logs,retention","Definir periodos y niveles por entorno","/docs/observability.md","Epic: Datos y Costos","4h"

"Epic: Mockup UX","Done","Mockup","Medium",,,"mock,ux","Mockup responsive con modo light/dark, carrito, detalle y paneles","/apps/mockup-web",,"—"
"Marca y navbar","Done","Mockup","Medium",,,"ui","Arami Shop clickeable, degradado y tooltips","/apps/mockup-web/app/store/page.tsx","Epic: Mockup UX","—"
"Perfil/Admin demo","Done","Mockup","Medium",,,"ui,auth","Panel de perfil y admin demo con owner","/apps/mockup-web","Epic: Mockup UX","—"
"Footer informativo","Done","Mockup","Low",,,"ui","Footer con redes, ayuda y atención","/apps/mockup-web/components/site/Footer.tsx","Epic: Mockup UX","—"
